0,1,2,3,4,5,6,7
19,12,19,12,12,13,17,11
14,10,19,17,16,17,16,10
11,17,18,14,17,15,16,17
18,11,11,11,16,12,16,16
18,10,10,15,15,20,15,17
10,14,18,20,17,18,20,10
12,19,13,18,13,16,10,16
16,12,15,10,14,11,10,18
18,18,14,17,18,19,12,16
12,12,12,20,19,10,17,11
19,20,15,11,19,12,16,13
14,12,15,15,13,14,17,14
13,19,16,19,17,12,16,10
19,14,11,13,14,13,14,10
17,12,17,13,11,12,12,17
18,19,14,17,11,15,18,12
13,10,19,12,14,20,14,11
20,10,11,14,20,15,11,12
12,14,14,17,17,18,10,16
20,19,14,14,10,17,15,20
